#{"t_start": 1775585549.7328336, "env_id": "None"}
r,l,t
-6.0,10,1.265571
-5.0,10,1.267075
2.0,10,1.268527
-1.0,10,1.269931
-6.0,10,1.273534
7.0,10,1.275274
1.0,10,1.276834
2.0,10,1.278264
-8.0,10,1.281944
2.0,10,1.283484
1.0,10,1.284903
2.0,10,1.286289
-4.0,10,1.290212
-4.0,10,1.291771
-4.0,10,1.293278
-2.0,10,1.294714
-5.0,10,1.298626
-1.0,10,1.300293
4.0,10,1.301737
-2.0,10,1.303134
0.0,10,1.331387
-2.0,10,1.355569
-1.0,10,1.383615
-8.0,10,1.41042
7.0,10,1.444405
-3.0,10,1.470942
3.0,10,1.497693
-5.0,10,1.528867
1.0,10,1.563299
0.0,10,1.591923
6.0,10,1.628181
1.0,10,1.658554
-8.0,10,1.698482
-4.0,10,1.725067
0.0,10,1.748769
7.0,10,1.775807
-5.0,10,1.805638
4.0,10,1.833022
0.0,10,1.863739
2.0,10,1.886405
-4.0,10,1.913348
-5.0,10,1.936244
-6.0,10,1.961947
-4.0,10,1.986532
-6.0,10,2.016041
1.0,10,2.045698
0.0,10,2.070045
1.0,10,2.094213
-5.0,10,2.124095
-1.0,10,2.146206
-1.0,10,2.16562
0.0,10,2.1864
2.0,10,2.216698
-3.0,10,2.237599
-4.0,10,2.265249
-3.0,10,2.288272
-6.0,10,2.317509
4.0,10,2.344438
-1.0,10,2.370202
5.0,10,2.397917
-4.0,10,2.430175
-3.0,10,2.457238
1.0,10,2.487726
-4.0,10,2.516639
-4.0,10,2.552553
-3.0,10,2.579951
4.0,10,2.621663
3.0,10,2.673479
1.0,10,2.704629
-3.0,10,2.729947
-1.0,10,2.755616
7.0,10,2.785179
5.0,10,2.8245
1.0,10,2.856174
4.0,10,2.886386
-5.0,10,2.921732
1.0,10,2.967637
-6.0,10,3.0106
-3.0,10,3.040376
2.0,10,3.073982
-2.0,10,3.124293
-2.0,10,3.17588
-1.0,10,3.208077
4.0,10,3.236538
0.0,10,3.267067
4.0,10,3.294717
7.0,10,3.320529
-1.0,10,3.344992
4.0,10,3.37499
-2.0,10,3.401878
6.0,10,3.429931
-1.0,10,3.457511
-7.0,10,3.489394
1.0,10,3.514283
4.0,10,3.539016
-2.0,10,3.563524
-4.0,10,3.599424
4.0,10,3.627231
3.0,10,3.652791
6.0,10,3.68017
-7.0,10,3.717841
-3.0,10,3.750508
4.0,10,3.775846
2.0,10,3.804496
7.0,10,3.835674
0.0,10,3.862772
0.0,10,3.894965
-7.0,10,3.925352
0.0,10,3.957195
2.0,10,3.985068
2.0,10,4.015952
0.0,10,4.045051
-2.0,10,4.081014
1.0,10,4.111865
-3.0,10,4.137839
-6.0,10,4.162112
-2.0,10,4.190042
5.0,10,4.214157
-1.0,10,4.238122
2.0,10,4.26436
1.0,10,4.292964
3.0,10,4.319014
-3.0,10,4.34598
9.0,10,4.375556
3.0,10,4.407189
-4.0,10,4.431358
4.0,10,4.458498
1.0,10,4.486253
7.0,10,4.514595
1.0,10,4.541329
-2.0,10,4.565987
3.0,10,4.588653
-5.0,10,4.619244
1.0,10,4.64164
4.0,10,4.66703
7.0,10,4.693735
-6.0,10,4.719865
1.0,10,4.745028
-3.0,10,4.773207
5.0,10,4.798179
11.0,10,4.828607
1.0,10,4.8546
3.0,10,4.880844
4.0,10,4.900766
6.0,10,4.929253
11.0,10,4.953044
1.0,10,4.978499
1.0,10,5.00254
3.0,10,5.032007
-2.0,10,5.053803
5.0,10,5.077472
7.0,10,5.103405
1.0,10,5.135909
9.0,10,5.163353
4.0,10,5.188322
1.0,10,5.215607
-1.0,10,5.242604
13.0,10,5.265005
-1.0,10,5.289847
1.0,10,5.316463
-3.0,10,5.340783
7.0,10,5.366176
4.0,10,5.392208
5.0,10,5.418942
0.0,10,5.446264
4.0,10,5.470746
1.0,10,5.494611
1.0,10,5.520883
4.0,10,5.547449
4.0,10,5.572526
-4.0,10,5.597533
8.0,10,5.621292
5.0,10,5.652542
7.0,10,5.676951
3.0,10,5.697807
7.0,10,5.720866
7.0,10,5.74876
6.0,10,5.772774
3.0,10,5.798253
4.0,10,5.825146
9.0,10,5.857595
9.0,10,5.885664
3.0,10,5.914073
0.0,10,5.938955
3.0,10,5.969407
2.0,10,5.996006
1.0,10,6.02108
5.0,10,6.051303
6.0,10,6.084911
4.0,10,6.121554
10.0,10,6.164442
-8.0,10,6.204854
7.0,10,6.266042
3.0,10,6.326068
3.0,10,6.375108
3.0,10,6.428931
3.0,10,6.4782
8.0,10,6.509589
9.0,10,6.549615
6.0,10,6.587575
4.0,10,6.624898
2.0,10,6.66245
4.0,10,6.69152
9.0,10,6.722799
6.0,10,6.755762
6.0,10,6.785464
7.0,10,6.81546
9.0,10,6.842469
8.0,10,6.87596
5.0,10,6.902577
11.0,10,6.934116
5.0,10,6.965694
5.0,10,7.005101
3.0,10,7.035756
6.0,10,7.067608
6.0,10,7.099148
3.0,10,7.131915
9.0,10,7.161478
5.0,10,7.188869
9.0,10,7.219641
4.0,10,7.256204
9.0,10,7.287495
9.0,10,7.314454
6.0,10,7.342438
3.0,10,7.375446
4.0,10,7.409013
11.0,10,7.439202
8.0,10,7.469431
11.0,10,7.502507
9.0,10,7.532351
3.0,10,7.563808
11.0,10,7.598782
4.0,10,7.64272
7.0,10,7.673511
6.0,10,7.706534
7.0,10,7.73929
8.0,10,7.777356
9.0,10,7.804429
8.0,10,7.831097
8.0,10,7.859186
4.0,10,7.894534
6.0,10,7.924468
11.0,10,7.959699
9.0,10,7.990627
8.0,10,8.097026
11.0,10,8.130096
7.0,10,8.169078
9.0,10,8.211635
10.0,10,8.269316
4.0,10,8.306247
3.0,10,8.343356
7.0,10,8.373903
8.0,10,8.404018
7.0,10,8.431473
5.0,10,8.469283
7.0,10,8.500434
4.0,10,8.533359
8.0,10,8.562973
8.0,10,8.58847
9.0,10,8.611572
10.0,10,8.64649
8.0,10,8.671888
4.0,10,8.699562
11.0,10,8.726513
7.0,10,8.755679
6.0,10,8.780105
7.0,10,8.807432
7.0,10,8.834949
9.0,10,8.868364
7.0,10,8.894542
13.0,10,8.921065
3.0,10,8.946758
11.0,10,8.978799
5.0,10,9.002889
6.0,10,9.028708
1.0,10,9.056314
8.0,10,9.092206
7.0,10,9.122493
13.0,10,9.151657
5.0,10,9.178763
13.0,10,9.213531
13.0,10,9.240871
9.0,10,9.263771
